n.node_id,n.longitude,n.latitude,elementid(n)
1454530795,20.6092977,-103.379703,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6759
1737920361,20.6093028,-103.3564651,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9849
1800778201,20.6093068,-103.4357021,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10324
1453189225,20.6093115,-103.3714826,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6610
1727349589,20.6093161,-103.3587358,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9833
1455443754,20.6093231,-103.395434,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6898
8710023084,20.6093353,-103.3587212,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14760
1432255119,20.6093397,-103.3953287,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5854
1430324120,20.6093472,-103.4230544,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5799
1727349588,20.60935,-103.3586563,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9832
6571104274,20.6093544,-103.3954209,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13328
1800778214,20.6093561,-103.4360911,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10325
1450854633,20.6093578,-103.3756315,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6562
1737920367,20.6093578,-103.3543064,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9850
1445999180,20.6093768,-103.378222,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6283
1407752833,20.6093786,-103.3829575,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5584
1430323156,20.6094004,-103.4122322,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5784
1439693340,20.6094033,-103.3931694,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6114
1727349590,20.609408,-103.3587129,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9834
1737920369,20.6094437,-103.3563206,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9851
1432255113,20.6094485,-103.394002,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5851
1453189150,20.609459,-103.372003,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6602
1439693452,20.6094646,-103.3932767,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6125
1452636066,20.6094749,-103.384572,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6594
1450810375,20.609486,-103.3747254,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6455
1453189127,20.609487,-103.3721017,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6597
